Date,Sent Amount,Sent Currency,Received Amount,Received Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Label,Description,TxHash
2021-08-21 17:00:00,,,2.328285,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-08-21.OSMO
2021-08-20 17:34:43,,,0.000009000,OSMO,0.00625,OSMO,,,staking,,1E8F5C9E1899048FD89DFD4F5E59FD7E26966F1A5F191844D4BBB4604B5A6206-0
2021-08-20 17:34:01,,,5.790962,OSMO,0.0035,OSMO,,,staking,,1C90CC1E51EAB1FA1F9F3851D02B63CEA59BEE9DC2CD94CAAC606A787CE0D832-0
2021-08-20 17:00:00,,,2.389827,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-08-20.OSMO
2021-08-19 17:00:00,,,2.408383,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-08-19.OSMO
2021-08-18 17:16:21,,,0.000016000,OSMO,0.00625,OSMO,,,staking,,187AE430C741ECF43D8624010BBE21809B30B467C3E502D273585CF05AF7BEEC-0
2021-08-18 17:15:44,,,2.917889,OSMO,0.0035,OSMO,,,staking,,7BCCF3C00D8BCA3229BA50AF2744730EC6580683DC5A8ADCFC6F548450A6C02F-0
2021-08-18 17:00:00,,,2.406783,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-08-18.OSMO
2021-08-17 21:36:14,,,0.000001000,OSMO,,,,,staking,,7CC1E11ECBA88BEDC7AB67632CAB2868F74F5FA61ECA18A91BF425CA64201DE0-0
2021-08-17 21:35:30,,,2.930057,OSMO,0.0035,OSMO,,,staking,,549F9A2B0A77C3CD57FEEEB9B040C84E0BAA7D240334771CFAF42949790E11A6-0
2021-08-17 17:00:00,,,2.399353,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-08-17.OSMO
2021-08-16 18:16:45,,,0.000011000,OSMO,0.00625,OSMO,,,staking,,29D800AB67826196F6D4A2E7AE7C773A7671C9139D6F295A2066116FA5881445-0
2021-08-16 18:16:00,,,2.925673,OSMO,0.0035,OSMO,,,staking,,22DC37B15AA7C31836AD426C1604C2580D97C69CBBE39FABD5C22A2DD6C9C25E-0
2021-08-16 17:00:00,,,2.400923,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-08-16.OSMO
2021-08-15 17:42:46,178.0,IRIS,7.549258,AKT,,,,,,,BD416CB076AFFA78FB29234A935C83F092D0566EAB1A30EC02A00BE72857341D-0
2021-08-15 17:40:26,,,0.000001000,OSMO,0.00625,OSMO,,,staking,,F197E5B275DC1E766604A9A8B47DEEF0172A80F782214232143DF0BE8E12E7BB-0
2021-08-15 17:39:42,,,5.800289,OSMO,0.0035,OSMO,,,staking,,EDF357FBEFE181FFCC06B9DC2368ED5825CE11737FC22A5DF8A6F32B44CB71B1-0
2021-08-15 17:00:00,,,2.375901,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-08-15.OSMO
2021-08-14 17:00:00,,,2.407368,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-08-14.OSMO
2021-08-14 13:55:13,,,2.977417,OSMO,0.0035,OSMO,,,staking,,ACEC04ED642CE62333AB026052104DAD965FEBD34DB4A5F68CA0F98ADE35C98C-0
